Ref,Val,Side,PosX,PosY,Rot
C1,15uf,top,118.1,-85.575,180
C4,150uF,top,150.32,-106.16,180
C6,15uf,top,145.93,-85.83,0
C9,150uF,top,111.05,-99.57,90
C11,470pF,top,168.45,-106.45,-90
C12,470pF,top,103.975,-100,180
C15,470pF,top,165.075,-68.2,180
C16,470pF,top,107.775,-82.4,-90
D1,NCD0603C1,top,111.01,-107.75,180
J2,1719710105,top,100.026,-92.681124,-98
J3,1719710105,top,172.000653,-87.394363,98
J6,2132250430,top,106.3,-73.66,90
J8,2132250430,top,172.67,-74.72,-90
MP1,WA-SMSI_9774XXX360,top,105.156,-105.8663,0
MP2,WA-SMSI_9774XXX360,top,173.6564,-105.8638,0
R1,124k,top,113.22,-94.66,-90
R2,100k,top,140.95,-104.2,180
R5,124k,top,145.03,-104.18,180
R6,120R,top,106.66,-96.45,90
R7,2.87k,top,137.225,-101.97,-90
R8,10k,top,110.18,-106.19,90
R9,120R,top,154.825,-77.975,-90
R10,120R,top,178.625,-83.675,-90
R13,120R,top,111.825,-71.6,90
R14,120R,top,167.2,-76.825,-90
R17,2M,top,101.675,-97.125,180
R18,2M,top,166.075,-106.475,-90
R21,2M,top,165.1,-70.525,180
R22,2M,top,110.15,-82.425,-90
U1,LTM8064IY#PBF,top,119.93,-99.505,0
U2,LTM8064IY#PBF,top,146.025,-97.52,90
C2,10u,bottom,130.84,-95.88,-90
C3,10u,bottom,127.46,-95.84,-90
C5,100uF,bottom,112.3962,-101.4623,-90
C7,10u,bottom,138.09,-95.88,-90
C8,10u,bottom,134.71,-95.89,-90
C10,100uF,bottom,159.375,-97.425,-90
C13,470pF,bottom,113.525,-82.575,0
C14,470pF,bottom,169.75,-83.1,180
J4,1719710105,bottom,106.7935,-87.344719,82
J5,1719710105,bottom,178.760499,-92.665843,-82
J7,1719710106,bottom,153.68,-71.58,90
J9,2132250430,bottom,172.46,-73.69,90
J10,2132250430,bottom,105.93,-74.83,-90
J11,TFM-106-02-L-D-WT,bottom,123.86,-76.215,-90
R3,374k,bottom,119.21,-94.04,0
R4,2.87k,bottom,115.4,-94.09,180
R11,120R,,172.04,-96.55,90
R12,120R,,99.95,-83.675,-90
R15,120R,,166.975,-71.675,90
R16,120R,,111.55,-77,-90
R19,2M,,169.775,-80.8,180
R20,2M,,113.55,-80.275,0
