Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,"C1,C6",2,,100SXV15MX,"Polarized capacitor, US symbol",100SXV15MX:CAP_100SXV15MX,SMD,
2,R9,1,UNI-ROYAL(Uniroyal Elec),0402WGF1200TCE,62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 120? 0402  Chip Resistor - Surface Mount ROHS,0402,SMD,
3,"R6,R10",2,UNI-ROYAL(Uniroyal Elec),RTT0259R0FTH,62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 59? 0402  Chip Resistor - Surface Mount ROHS,0402,SMD,
4,"C2,C3,C7,C8",4,Murata Electronics, GRJ32ER71H106KE11L,50V 10uF X7R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,1210,SMD,
5,R7,1,PANASONIC,ERJ2RKF2801X,100mW Thick Film Resistors 100V ±100ppm/? ±1% 2.8k? 0402  Chip Resistor - Surface Mount ROHS,0402,SMD,
6,R4,1,RALEC,RTT012871FTH,50mW ±1% ±200ppm/? 2.87k? 0201  Chip Resistor - Surface Mount ROHS,0201,SMD,
7,"R1,R2,R5",3,Vishay Dale,RC0201FR-07124KL,50mW Thick Film Resistors 25V Â±1% Â±200ppm/â„ƒ 124kÎ© 0201  Chip Resistor - Surface Mount ROHS,Resistor_SMD:R_0201_0603Metric,SMD,
8,R8,1,Vishay Dale,RC0201FR-07100KL,50mW Thick Film Resistors 25V Â±1% Â±200ppm/â„ƒ 10kÎ© 0201  Chip Resistor - Surface Mount ROHS,Resistor_SMD:R_0201_0603Metric,SMD,
9,D1,1,Foshan NationStar Optoelectronics,NCD0603C1,25mA Colorless transparent lens 5mcd~13mcd 565nm~578nm -30?~+85? Yellow Green 140° 65mW 1.6V~2.6V 0603  LED Indication - Discrete ROHS,0603,SMD,
10,R17,1,UNI-ROYAL(Uniroyal Elec),1206W4F2004T5E,250mW Thick Film Resistors 200V ±100ppm/? ±1% 2M? 1206  Chip Resistor - Surface Mount ROHS,1206,SMD,
11,C12,1,Johanson Dielectrics,202R18W471KV4E,2kV 470pF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,1206,SMD,
12,C17,1,Samsung Electro-Mechanics,CL03A104KA3NNNC,25V 100nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0201,SMD,
13,"C5,C10",2,Samsung Electro-Mechanics,CL32A107MPVNNNE,10V 100uF X5R ±20% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,1210,SMD,
14,R3,1,PANASONIC,ERJ2RKF3743X,100mW Thick Film Resistors ±100ppm/? ±1% 374k? 0402  Chip Resistor - Surface Mount ROHS,0402,SMD,
15,"U1,U2",2,Analog Devices,LTM8064IY#PBF,BGA-108  DC-DC Power Modules ROHS,BGA-108,SMD,
16,"MP1,MP2",2,Würth Elektronik,9774120360R,ROUND STANDOFF M3X0.5 STEEL 12MM,M3x0.5,Round Standoff,732-5279-1-ND
17,J7,1,Molex,1719710106,1 Tin -40?~+105? Brass Direct Insert Plugin  Wire To Board Connector ROHS,Plugin,Wave Soldering,
18,"J6,J8,J9,J10",4,Molex,2132250430,"1 Tin 1.5mm -40?~+105? Copper Alloy Standing paste SMD,P=1.5mm  Wire To Board Connector ROHS","SMD,P=1.5mm",SMD,
19,"J2,J3,J4,J5",4,Molex,1719710105,1 Tin -40?~+105? Brass Direct Insert Plugin  Wire To Board Connector ROHS,Plugin,thru-hole,
20,J1,1,SAMTEC,TFM-107-02-L-D-WT,2 Tin 1.27mm -55?~+125? Phosphor Bronze Standing paste SMD  Wire To Board Connector ROHS,SMD,SMD,
21,"C4,C9",2,--,TAJD157K016RNJ,150uF 16V 900m?@100kHz ±10% CASE-D-7343  Tantalum Capacitors ROHS,CASE-D-7343,SMD,
