Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,123.135,-96.285,top,-90
C2,126.11,-96.11,top,0
C3,126.52,-94.345,top,90
C4,127.91,-93.285,top,90
C5,125.495,-92.57,top,0
C6,121.38,-90.495,top,180
C7,164.1832,-84.8228,top,0
C8,165.0132,-83.1628,top,90
C9,164.6632,-81.0628,top,0
C10,164.6632,-81.9878,top,0
C11,156.9839,-86.985,top,-90
C12,156.2839,-86.96,top,-90
C13,162.1589,-89.585,top,0
C14,157.85,-82.65,top,90
C15,153.875,-82.625,top,-90
C16,157.2398,-95.842,top,90
C17,157.9398,-95.842,top,90
C18,162.1589,-91.685,top,180
C19,158.6398,-95.842,top,90
C20,132.83,-86.72,top,90
C21,154.299,-87.7298,top,0
C22,155.4898,-95.517,top,180
C23,153.194,-91.3798,top,0
C24,164.1832,-86.6728,top,0
C25,164.1882,-85.7478,top,0
C26,160.0332,-84.8228,top,180
C27,160.0332,-85.7478,top,180
C28,160.0332,-86.6728,top,180
D1,131.22,-95.89,top,90
D2,127.8445,-89.286501,top,90
D3,164.7082,-80.1378,top,180
D4,151.545,-91.36,top,90
J2,138.3,-93.39,top,180
L1,162.1082,-84.8228,top,0
R1,125.47,-94.695,top,180
R2,125.47,-93.995,top,180
R3,125.49,-93.295,top,180
R4,158.925,-82.075,top,0
R5,158.925,-82.775,top,180
R6,158.925,-81.25,top,0
R7,164.3132,-83.1628,top,-90
R8,155.5839,-86.96,top,90
R9,161.32,-87.035,top,-90
R10,162.02,-87.035,top,-90
R11,162.1589,-90.285,top,180
R12,162.1589,-90.985,top,180
R13,162.1589,-92.385,top,180
R14,162.1589,-88.835,top,180
R15,155.775,-80,top,0
R16,156.5398,-95.842,top,-90
R17,159.3398,-95.842,top,-90
R18,130.5,-86.72,top,90
U1,121.88,-93.2565,top,0
U2,157.7252,-91.378,top,-90
U3,161.6632,-82.3378,top,0
Y1,155.85,-82.55,top,180
J1,166.73,-80.83,bottom,-90
